Text1,Text2,score
love,sex,0.15384615384615385
tiger,cat,0.5454545454545454
tiger,tiger,0.75
book,paper,0.25
computer,keyboard,0.8235294117647058
computer,internet,0.631578947368421
plane,car,0.6666666666666666
train,car,0.6666666666666666
telephone,communication,0.13333333333333333
television,radio,0.9
media,radio,N/A
drug,abuse,0.14285714285714285
bread,butter,0.75
cucumber,potato,0.2
doctor,nurse,0.8695652173913043
professor,doctor,0.5
student,professor,0.5714285714285714
smart,student,0.13333333333333333
smart,stupid,0.13333333333333333
company,stock,0.2857142857142857
stock,market,0.2857142857142857
stock,phone,0.125
stock,CD,0.4
stock,jaguar,0.09090909090909091
stock,egg,0.11764705882352941
fertility,egg,0.125
stock,live,N/A
stock,life,0.3076923076923077
book,library,0.5263157894736842
bank,money,0.15384615384615385
wood,forest,0.2857142857142857
money,cash,0.8
professor,cucumber,0.5
king,cabbage,0.25
king,queen,0.5714285714285714
king,rook,0.38095238095238093
bishop,rabbi,0.5454545454545454
Jerusalem,Israel,0.7
Jerusalem,Palestinian,0.2857142857142857
holy,sex,0.3076923076923077
fuck,sex,0.8571428571428571
Maradona,football,N/A
football,soccer,0.88
football,basketball,0.782608695652174
football,tennis,0.782608695652174
tennis,racket,0.4444444444444444
Arafat,peace,0.14285714285714285
Arafat,terror,0.125
Arafat,Jackson,0.5714285714285714
law,lawyer,0.16666666666666666
movie,star,0.5333333333333333
movie,popcorn,0.36363636363636365
movie,critic,0.4444444444444444
movie,theater,0.625
physics,proton,0.09523809523809523
physics,chemistry,0.9
space,chemistry,0.2857142857142857
alcohol,chemistry,0.21052631578947367
vodka,gin,0.9090909090909091
vodka,brandy,0.9090909090909091
drink,car,0.1111111111111111
drink,ear,0.13333333333333333
drink,mouth,0.11764705882352941
drink,eat,N/A
baby,mother,0.5
drink,mother,0.11764705882352941
car,automobile,1.0
gem,jewel,0.5882352941176471
journey,voyage,0.8571428571428571
boy,lad,0.6666666666666666
coast,shore,0.9090909090909091
asylum,madhouse,0.631578947368421
magician,wizard,0.631578947368421
midday,noon,1.0
furnace,stove,0.45454545454545453
food,fruit,0.2857142857142857
bird,cock,0.21052631578947367
bird,crane,0.6
tool,implement,0.9333333333333333
brother,monk,0.5714285714285714
crane,implement,0.47058823529411764
lad,brother,0.6
journey,car,0.09523809523809523
monk,oracle,0.5714285714285714
cemetery,woodland,0.42857142857142855
food,rooster,0.21052631578947367
coast,hill,0.6666666666666666
forest,graveyard,0.13333333333333333
shore,woodland,0.6
monk,slave,0.6666666666666666
coast,forest,0.16666666666666666
lad,wizard,0.6666666666666666
chord,smile,0.2857142857142857
glass,magician,0.3333333333333333
noon,string,0.1111111111111111
rooster,voyage,0.08
money,dollar,0.42857142857142855
money,cash,0.8
money,currency,0.8571428571428571
money,wealth,0.2857142857142857
money,property,0.3333333333333333
money,possession,0.26666666666666666
money,bank,0.15384615384615385
money,deposit,0.14285714285714285
money,withdrawal,0.23529411764705882
money,laundering,0.25
money,operation,0.3076923076923077
tiger,jaguar,0.5217391304347826
tiger,feline,0.5714285714285714
tiger,carnivore,0.6
tiger,mammal,0.6666666666666666
tiger,animal,0.8
tiger,organism,0.8571428571428571
tiger,fauna,0.2
tiger,zoo,0.5333333333333333
psychology,psychiatry,0.7272727272727273
psychology,anxiety,0.25
psychology,fear,0.25
psychology,depression,0.25
