Text1,Text2,score
love,sex,0.2639377304181505
tiger,cat,0.5172961902020223
tiger,tiger,0.9999999999999999
book,paper,0.3634626054593705
computer,keyboard,0.3963916344496472
computer,internet,0.406862311380599
plane,car,0.3779698328931709
train,car,0.34025610512275994
telephone,communication,0.33218451364826046
television,radio,0.6114970653740066
media,radio,0.3899160770063179
drug,abuse,0.24085767899022703
bread,butter,0.641726022561748
cucumber,potato,0.5678562367664973
doctor,nurse,0.6319523034030483
professor,doctor,0.2133608315413693
student,professor,0.4206618169211489
smart,student,0.06630215776589342
smart,stupid,0.4704719339861866
company,stock,0.3415686499911349
stock,market,0.46805560170275406
stock,phone,0.12326755651116329
stock,CD,0.06611791165748387
stock,jaguar,0.03606690479470201
stock,egg,0.1041776765577089
fertility,egg,0.2565234672193644
stock,live,0.044471770604030264
stock,life,0.07456467556928326
book,library,0.3245312221263817
bank,money,0.2613206493332123
wood,forest,0.4175162762505932
money,cash,0.6151220715420505
professor,cucumber,0.05661814257417282
king,cabbage,0.11813169912259064
king,queen,0.6510956835386659
king,rook,0.20875592175251562
bishop,rabbi,0.42778127082066725
Jerusalem,Israel,0.6638747384126995
Jerusalem,Palestinian,0.6342512022404139
holy,sex,0.10070593464092037
fuck,sex,0.2233917403399783
Maradona,football,0.2888382869288788
football,soccer,0.7313548315253697
football,basketball,0.6682467946864291
football,tennis,0.5051178656678619
tennis,racket,0.3920080082169771
Arafat,peace,0.3149863871798483
Arafat,terror,0.32154805448132207
Arafat,Jackson,0.2471251856698357
law,lawyer,0.3446576876778724
movie,star,0.26419906583513786
movie,popcorn,0.4453552713576579
movie,critic,0.17430326412845204
movie,theater,0.4741904249651128
physics,proton,0.36640594979560887
physics,chemistry,0.43719830719739683
space,chemistry,0.08025177229487362
alcohol,chemistry,0.08876198028511748
vodka,gin,0.597174845456264
vodka,brandy,0.6881492366781247
drink,car,0.24563539757759348
drink,ear,0.09346936647699837
drink,mouth,0.17304001501593022
drink,eat,0.5070200386484229
baby,mother,0.5839770081087055
drink,mother,0.1567993946549866
car,automobile,0.5838367575984196
gem,jewel,0.6210810621214566
journey,voyage,0.6830852596999192
boy,lad,0.588615934756066
coast,shore,0.5083667401271157
asylum,madhouse,0.2525393013354564
magician,wizard,0.48634961630405305
midday,noon,0.5527406441482179
furnace,stove,0.6083910645324064
food,fruit,0.37409259877873124
bird,cock,0.3629024200550852
bird,crane,0.302861910578598
tool,implement,0.21234227421379975
brother,monk,0.22320019970585048
crane,implement,0.02318615392308493
lad,brother,0.3595924893789376
journey,car,0.09849625033300125
monk,oracle,0.3035403618622362
cemetery,woodland,0.3819250475651497
food,rooster,0.11830646680620915
coast,hill,0.1611577547876629
forest,graveyard,0.2290112132839761
shore,woodland,0.11690946166507757
monk,slave,0.19146227120982812
coast,forest,0.23609790007924317
lad,wizard,0.33023006071411043
chord,smile,0.148692366312126
glass,magician,0.03722491038089206
noon,string,0.02165451453599647
rooster,voyage,0.06275809503788346
money,dollar,0.31356569112916
money,cash,0.6151220715420505
money,currency,0.1601012092798699
money,wealth,0.32951038062018334
money,property,0.2682445947509035
money,possession,0.053182693705194566
money,bank,0.2613206493332123
money,deposit,0.260411365737937
money,withdrawal,0.05602633099137618
money,laundering,0.2523637165170525
money,operation,0.08456929421676662
tiger,jaguar,0.5528684236868986
tiger,feline,0.4267144839967206
tiger,carnivore,0.4289375196602393
tiger,mammal,0.4964474745028534
tiger,animal,0.5096532714552162
tiger,organism,0.06294277704246026
tiger,fauna,0.32975669504592425
tiger,zoo,0.46924549223499096
psychology,psychiatry,0.5556287159801958
psychology,anxiety,0.2719924941235564
psychology,fear,0.17129429544461977
psychology,depression,0.31355652063382045
psychology,clinic,0.12102102627773553
psychology,doctor,0.19066519672239715
psychology,Freud,0.33308247627959703
psychology,mind,0.25049887481268573
psychology,health,0.1761923260576454
psychology,science,0.48088345509713365
psychology,discipline,0.25971640707517096
psychology,cognition,0.3995115942652291
planet,star,0.19317104822881542
planet,constellation,0.3931295102652381
planet,moon,0.5024792342426729
planet,sun,0.3206743769097231
planet,galaxy,0.6338510270376451
planet,space,0.2803674703375846
planet,astronomer,0.3078755160782405
precedent,example,0.37273746679290587
precedent,information,0.08866602816834068
precedent,cognition,-0.020569601340667168
precedent,law,0.34597014328702486
precedent,collection,0.032831458907254196
precedent,group,0.07681482310499878
precedent,antecedent,0.28377136931613006
cup,coffee,0.35601778878849655
cup,tableware,0.19486345272783087
cup,article,0.08339212689810455
cup,artifact,0.03369915911480057
cup,object,0.10605283376087914
cup,entity,0.0347922204724289
cup,drink,0.35322167386177705
cup,food,0.09379564966955678
cup,substance,0.125564170842794
cup,liquid,0.2518393981722877
jaguar,cat,0.4054865479251297
jaguar,car,0.13319404305896707
